y,np_variabel,tids_fe,bruksareal,innt_form,innt_enhet,spot_enhet,gradtall,vekting,utvalg,N,n_kommuner,b_egd,b_spot_enhet,b_np,b_innt_enhet,r2_within,r2_overall,r2_ols_dummyer,mean_y,avvik_egd,avvik_spot,avvik_np,avvik_innt,avvik_r2,r2_variant,avvik_koef_sum,avstand
log_kwh,post_sep2025,ingen,uten,lineaer,1000_kr,ore_per_kwh,base17,n_mp,alle,10047,197,0.0018762692991458516,-0.00033557277977986787,0.0760167702160775,0.0007443024930817591,0.9584994716422321,0.11776689055763234,0.9972844180620776,15.495846165775767,0.012489842554814942,0.3288544404402643,0.07522177352703766,0.6898739612159337,0.02229039210988925,r2_within,1.1064400177380507,1.1287304098479398
log_kwh,post_sep2025,ingen,uten,lineaer,1000_kr,ore_per_kwh,base17,n_mp,pa_entydig,6426,126,0.0018730660025592302,-0.00034807020867377766,0.07553690695688042,0.0006808254420797501,0.9584003668061186,0.11071469970373404,0.9976362667597437,15.411857521941595,0.014175788126720932,0.30385958265244467,0.08105952607201426,0.7163227324667708,0.02218469155942687,r2_within,1.1154176293179507,1.1376023208773776
log_kwh,post_sep2025,ingen,med,lineaer,1000_kr,ore_per_kwh,base17,n_mp,egd_kommunestasjon,7869,170,0.0018817388979277276,-0.0003457312024281145,0.07597648201307501,0.0006653631186709267,0.9599853200549464,0.03137129210595291,0.9972719154413033,15.633253985393724,0.009611106353827576,0.30853759514377105,0.07571189765115553,0.7227653672204472,0.02387512804495139,r2_within,1.1166259663692013,1.1405010944141527
log_kwh,post_sep2025,ingen,med,lineaer,1000_kr,ore_per_kwh,base17,n_mp,alle,10047,197,0.0018761231396151358,-0.000336227338858304,0.07522123534731842,0.0007290390504196377,0.9585476655998865,0.05486807646192304,0.9972875716277333,15.495846165775767,0.012566768623612735,0.32754532228339195,0.08489981329296319,0.6962337289918177,0.022341793515237286,r2_within,1.1212456331917855,1.1435874267070227
log_kwh,post_sep2025,ingen,med,lineaer,1000_kr,ore_per_kwh,base17,n_mp,pa_entydig,6426,126,0.0018728576744411727,-0.00034776053733093747,0.07506356417335956,0.0006758765984159745,0.9584532864513295,0.04476258635927566,0.997639273707518,15.411857521941595,0.014285434504645925,0.3044789253381251,0.0868179540953824,0.7183847506600106,0.022241133160547735,r2_within,1.123967064598164,1.1462081977587117
log_kwh_per_maler,post_okt2025,aar,med,lineaer,kr,ore_per_kwh,base17,uvektet,egd_kommunestasjon,7869,170,0.001905682397958246,-0.0004480823926824275,0.08580459262592148,-1.7987334271960286e-07,0.9402218305607575,0.12294308834832868,0.9492419069478927,6.899626471620341,0.0029907357674978474,0.10383521463514497,0.04385149179953145,1.0000749472261332,0.002796320990568993,r2_within,1.1507523894283076,1.1535487104188766
log_kwh_per_maler,post_okt2025,aar,uten,lineaer,kr,ore_per_kwh,base17,uvektet,egd_kommunestasjon,7869,170,0.0019057031348357614,-0.00044810485166598947,0.08581654330571077,-1.82047559746655e-07,0.9402200942753913,0.14328210684056863,0.9492404326549357,6.899626471620341,0.003001649913558629,0.10379029666802107,0.04399687719842794,1.0000758531498943,0.002794469150374721,r2_within,1.150864676929902,1.1536591460802768
log_kwh_per_maler,post_okt2025,ingen,med,lineaer,1000_kr,ore_per_kwh,base17,uvektet,egd_kommunestasjon,7869,170,0.0018919314310118264,-0.0003686942828485624,0.08758465568431976,0.0004161966622616955,0.9389102108627113,0.2286699179506817,0.9481282008022057,6.899626471620341,0.004246615256933473,0.2626114343028752,0.06550676014987554,0.826584724057627,0.0013974091965777786,r2_within,1.1589495337673112,1.160346942963889
log_kwh_per_maler,post_okt2025,ingen,uten,lineaer,1000_kr,ore_per_kwh,base17,uvektet,egd_kommunestasjon,7869,170,0.0018919580743808656,-0.0003687595557577592,0.08763294463526623,0.000416529928118365,0.9389095210687987,0.2409433707515254,0.948127615093009,6.899626471620341,0.0042325924311233535,0.26248088848448164,0.06609421697404182,0.8264458632840146,0.0013966734948791266,r2_within,1.1592535611736614,1.1606502346685406
log_kwh_per_maler,post_okt2025,aar,med,lineaer,kr,ore_per_kwh,base17,uvektet,pa_entydig,6426,126,0.0019007226802237893,-0.0004241708131442429,0.085555558916412,-1.6777647777941334e-07,0.9374357416504114,0.1439000765750813,0.946767859058306,6.8791870903583,0.00038035801252067386,0.15165837371151425,0.04082188462788334,1.0000699068657415,0.00017519021927106762,r2_within,1.1929305232176597,1.1931057134369307
log_kwh_per_maler,post_okt2025,aar,uten,lineaer,kr,ore_per_kwh,base17,uvektet,pa_entydig,6426,126,0.0019007256366954154,-0.0004241444649560163,0.08555486802719595,-1.7541306754294747e-07,0.9374351003682141,0.15346615853926882,0.9467673134300956,6.8791870903583,0.0003819140502186255,0.15171107008796744,0.04081347964958578,1.000073088778143,0.00017587418065902037,r2_within,1.1929795525659148,1.1931554267465738
log_kwh,post_sep2025,ingen,uten,lineaer,1000_kr,ore_per_kwh,base18,n_mp,alle,10047,197,0.0018531023663085082,-0.00031595646076693654,0.07304093495051885,0.0007901622390349087,0.9582320415597968,0.12600087692830653,0.9972669188077244,15.495846165775767,0.024682965100785166,0.3680870784661269,0.11142414902045195,0.6707657337354547,0.02200516377964677,r2_within,1.1749599263228188,1.1969650901024655
log_kwh,post_okt2025,aar,med,lineaer,kr,ore_per_kwh,base17,uvektet,egd_kommunestasjon,7869,170,0.001903394508839372,-0.0004494682235489728,0.09064663100980445,-2.447520757000641e-07,0.9405585993236038,0.023632006358007773,0.9938672188649582,15.633253985393724,0.00178658359966947,0.1010635529020544,0.10275706824579635,1.0001019800315418,0.0031555026915569126,r2_within,1.205709184779062,1.2088646874706188
log_kwh,post_okt2025,aar,uten,lineaer,kr,ore_per_kwh,base17,uvektet,egd_kommunestasjon,7869,170,0.0019034782185740073,-0.00044955888500717607,0.09069487299961779,-2.53528861416061e-07,0.9405308163879051,0.06143015050059375,0.993864352400474,15.633253985393724,0.0018306413547406943,0.10088222998564787,0.10334395376663981,1.00010563702559,0.0031258707208886042,r2_within,1.2061624621326184,1.209288332853507
log_kwh,post_sep2025,ingen,med,lineaer,1000_kr,ore_per_kwh,base18,n_mp,alle,10047,197,0.0018529571948377413,-0.00031662769933057044,0.0722287216138036,0.0007745721486468635,0.9582822830183411,0.062057232833570675,0.9972702063513476,15.495846165775767,0.024759371138030874,0.3667446013388591,0.12130508985640383,0.6772616047304735,0.022058748953008824,r2_within,1.1900706670637673,1.2121294160167762
