modell,nullverdi,p_wcr,akseptert_5pst
D7_g_B999,0.018554750088048837,0.001,0
D7_g_B999,0.018561771627877394,0.001,0
D7_g_B999,0.018568793167705953,0.001,0
D7_g_B999,0.01857581470753451,0.001,0
D7_g_B999,0.018582836247363066,0.001,0
D7_g_B999,0.018589857787191626,0.001,0
D7_g_B999,0.018596879327020182,0.001,0
D7_g_B999,0.018603900866848738,0.001,0
D7_g_B999,0.018610922406677298,0.001,0
D7_g_B999,0.018617943946505854,0.001,0
D7_g_B999,0.01862496548633441,0.001,0
D7_g_B999,0.01863198702616297,0.001,0
D7_g_B999,0.018639008565991527,0.001,0
D7_g_B999,0.018646030105820086,0.001,0
D7_g_B999,0.018653051645648643,0.001,0
D7_g_B999,0.0186600731854772,0.001,0
D7_g_B999,0.01866709472530576,0.001,0
D7_g_B999,0.018674116265134315,0.001,0
D7_g_B999,0.01868113780496287,0.001,0
D7_g_B999,0.01868815934479143,0.001,0
D7_g_B999,0.018695180884619987,0.001,0
D7_g_B999,0.018702202424448543,0.001,0
D7_g_B999,0.018709223964277103,0.001,0
D7_g_B999,0.01871624550410566,0.001,0
D7_g_B999,0.018723267043934216,0.001,0
D7_g_B999,0.018730288583762775,0.001,0
D7_g_B999,0.01873731012359133,0.001,0
D7_g_B999,0.018744331663419888,0.001,0
D7_g_B999,0.018751353203248448,0.001,0
D7_g_B999,0.018758374743077004,0.001,0
D7_g_B999,0.018765396282905564,0.001,0
D7_g_B999,0.01877241782273412,0.001,0
D7_g_B999,0.018779439362562676,0.001,0
D7_g_B999,0.018786460902391236,0.001,0
D7_g_B999,0.018793482442219792,0.001,0
D7_g_B999,0.01880050398204835,0.001,0
D7_g_B999,0.01880752552187691,0.001,0
D7_g_B999,0.018814547061705465,0.001,0
D7_g_B999,0.01882156860153402,0.001,0
D7_g_B999,0.01882859014136258,0.001,0
D7_g_B999,0.018835611681191137,0.001,0
D7_g_B999,0.018842633221019693,0.001,0
D7_g_B999,0.018849654760848253,0.001,0
D7_g_B999,0.01885667630067681,0.001,0
D7_g_B999,0.018863697840505365,0.001,0
D7_g_B999,0.018870719380333925,0.001,0
D7_g_B999,0.01887774092016248,0.001,0
